,Station,Tube Line,Transport Zone,Address,Longitude,Latitude
261,Edgware Road (Circle/District/Hammersmith and City),Circle line (London Underground),Zone 1,"Chapel St, Marylebone, London NW1 5DH, UK",-0.167668254,51.51999804
262,Edgware Road (Circle/District/Hammersmith and City),District line,Zone 1,"Chapel St, Marylebone, London NW1 5DH, UK",-0.167668254,51.51999804
263,Edgware Road (Circle/District/Hammersmith and City),Hammersmith & City line,Zone 1,"Chapel St, Marylebone, London NW1 5DH, UK",-0.167668254,51.51999804
264,Edmonton Green,Overground line,Zone 4,"Edmonton, London N9 0TQ, UK",-0.061639019,51.6251157
265,Elephant and Castle,Bakerloo line,Zone 1,"Elephant and Castle, London of Freedom#8573311~!#, UK",-0.100738715,51.49584938
266,Elephant and Castle,Northern line,Zone 1,"Elephant and Castle, London of Freedom#8573311~!#, UK",-0.100738715,51.49584938
267,Elephant and Castle,Bakerloo line,Zone 2,"Elephant and Castle, London of Freedom#8573311~!#, UK",-0.100738715,51.49584938
268,Elephant and Castle,Northern line,Zone 2,"Elephant and Castle, London of Freedom#8573311~!#, UK",-0.100738715,51.49584938
269,Elm Park,District line,Zone 6,"Hornchurch RM12 4RN, UK",0.197252682,51.54912458
270,Elmers End,Overground line,Zone 4,"Beckenham, UK",-0.049463832,51.39829111
271,Elmstead Woods,Overground line,Zone 4,"Chislehurst BR7 5EG, UK",0.044229343,51.41708063
272,Elstree and Borehamwood,Overground line,Zone 6,"Borehamwood WD6 3LS, UK",-0.279828619,51.65287558
273,Eltham,Overground line,Zone 4,"Eltham, London SE9, UK",0.052329308,51.45566222
274,Elverson Road,Overground line,Zone 2,"London SE8, UK",-0.016816376,51.46837219
275,Elverson Road,Overground line,Zone 3,"London SE8, UK",-0.016816376,51.46837219
276,Embankment,Bakerloo line,Zone 1,"Villiers St, Charing Cross, London WC2N 6NS, UK",-0.122367337,51.50731249
277,Embankment,Circle line (London Underground),Zone 1,"Villiers St, Charing Cross, London WC2N 6NS, UK",-0.122367337,51.50731249
278,Embankment,District line,Zone 1,"Villiers St, Charing Cross, London WC2N 6NS, UK",-0.122367337,51.50731249
279,Embankment,Northern line,Zone 1,"Villiers St, Charing Cross, London WC2N 6NS, UK",-0.122367337,51.50731249
280,Emerson Park,Overground line,Zone 6,"Hornchurch RM11 3HU, UK",0.220222934,51.56911491
281,Enfield Chase,Overground line,Zone 5,"Enfield EN2 6SB, UK",-0.090704205,51.65272211
282,Enfield Lock,Overground line,Zone 6,"Enfield EN3, UK",-0.02839107,51.67084612
283,Enfield Town,Overground line,Zone 5,"Southbury Road, Greater London, Enfield EN1 1YX, UK",-0.079329922,51.65197007
284,Epping,Central line (London Underground),Zone 6,"Epping CM16 4HW, UK",0.113825553,51.69368617
285,Epsom Downs,Overground line,Zone 6,"Epsom Downs Station, Longdown Ln S, Epsom KT17 4JX, UK",-0.238970227,51.32365944
286,Erith,Overground line,Zone 6,"Erith DA8 1TY, UK",0.174261289,51.48164768
287,Essex Road,Overground line,Zone 2,"Essex Rd, London N1, UK",-0.096365526,51.54063331
288,Euston,Northern line,Zone 1,"London NW1 2DS, UK",-0.133296472,51.52866433
289,Euston,Victoria line,Zone 1,"London NW1 2DS, UK",-0.133296472,51.52866433
290,Euston Square,Circle line (London Underground),Zone 1,"Fitzrovia, London NW1 2NG, UK",-0.133296472,51.52866433
291,Euston Square,Hammersmith & City line,Zone 1,"Fitzrovia, London NW1 2NG, UK",-0.133296472,51.52866433
292,Euston Square,Metropolitan line,Zone 1,"Fitzrovia, London NW1 2NG, UK",-0.133296472,51.52866433
293,Ewell East,Overground line,Zone 6,"Station Approach, Cheam Rd, Epsom KT17 1QR, UK",-0.241503001,51.34524388
294,Ewell West,Overground line,Zone 6,"Ewell, Epsom KT17 1DW, UK",-0.257089133,51.34999114
295,Fairlop,Central line (London Underground),Zone 4,"Forest Rd, Ilford IG6 3HD, UK",0.090593279,51.59610954
296,Falconwood,Overground line,Zone 4,"Falconwood, Welling DA16 2LY, UK",0.078509693,51.4590858
297,Farringdon,Circle line (London Underground),Zone 1,"Farringdon, London, UK",-0.104843062,51.52019569
298,Farringdon,Hammersmith & City line,Zone 1,"Farringdon, London, UK",-0.104843062,51.52019569
299,Farringdon,Metropolitan line,Zone 1,"Farringdon, London, UK",-0.104843062,51.52019569
300,Feltham,Overground line,Zone 6,"Feltham, UK",-0.409824481,51.44787917
301,Fenchurch Street,Overground line,Zone 1,"London EC3M 4PB, UK",-0.078554153,51.51156671
302,Fieldway,Overground line,Zone 3,"Croydon CR0 0QA, UK",-0.024503265,51.35131701
303,Fieldway,Overground line,Zone 4,"Croydon CR0 0QA, UK",-0.024503265,51.35131701
304,Fieldway,Overground line,Zone 5,"Croydon CR0 0QA, UK",-0.024503265,51.35131701
305,Fieldway,Overground line,Zone 6,"Croydon CR0 0QA, UK",-0.024503265,51.35131701
306,Finchley Central,Northern line,Zone 4,"Finchley, London N3, UK",-0.193220637,51.60090325
307,Finchley Road,Jubilee line,Zone 2,"Finchley Rd, South Hampstead, London NW3 6OP, UK",-0.180050561,51.5470962
308,Finchley Road,Metropolitan line,Zone 2,"Finchley Rd, South Hampstead, London NW3 6OP, UK",-0.180050561,51.5470962
309,Finchley Road and Frognal,Overground line,Zone 2,"West Hampstead, London NW3 6EN, UK",-0.183651203,51.5501195
310,Finsbury Park,Piccadilly line,Zone 2,"Station Pl, Finsbury Park, London N4 2DH, UK",-0.105881486,51.56463545
311,Finsbury Park,Victoria line,Zone 2,"Station Pl, Finsbury Park, London N4 2DH, UK",-0.105881486,51.56463545
312,Forest Gate,Overground line,Zone 3,"Forest Gate, London E7 0NE, UK",0.024189092,51.54931612
313,Forest Hill,Overground line,Zone 3,"Forest Hill, London SE23 3HB, UK",-0.053328504,51.43930831
314,Fulham Broadway,District line,Zone 2,"Fulham Rd, Fulham, London SW6 1BY, UK",-0.195544164,51.4802609
315,Fulwell,Overground line,Zone 6,"128 Fulwell Rd, Teddington TW11 0RQ, UK",-0.349438525,51.43394257
316,Gallions Reach,Overground line,Zone 3,"London E6 7AB, UK",0.071775394,51.50903414
317,Gants Hill,Central line (London Underground),Zone 4,"Cranbrook Rd, Gants Hill, Ilford IG2 6UD, UK",0.066084098,51.57655295
318,George Street,Overground line,Zone 3,"Croydon CR0 1PB, UK",-0.098718105,51.37396606
319,George Street,Overground line,Zone 4,"Croydon CR0 1PB, UK",-0.098718105,51.37396606
320,George Street,Overground line,Zone 5,"Croydon CR0 1PB, UK",-0.098718105,51.37396606
321,George Street,Overground line,Zone 6,"Croydon CR0 1PB, UK",-0.098718105,51.37396606
322,Gidea Park,Overground line,Zone 6,"Gidea Park, Romford RM2, UK",0.205976981,51.58186575
323,Gipsy Hill,Overground line,Zone 3,"Gipsy Hill, London SE19 1PL, UK",-0.083835168,51.42446952
324,Gloucester Road,Circle line (London Underground),Zone 1,"South Kensington, London SW7, UK",-0.18354356,51.49449956
325,Gloucester Road,District line,Zone 1,"South Kensington, London SW7, UK",-0.18354356,51.49449956
326,Gloucester Road,Piccadilly line,Zone 1,"South Kensington, London SW7, UK",-0.18354356,51.49449956
327,Golders Green,Northern line,Zone 3,"Golders Green, London NW11 7NU, UK",-0.194834559,51.57221553
328,Goldhawk Road,Circle line (London Underground),Zone 2,"Goldhawk Rd, Shepherd's Bush, London W12 8EG, UK",-0.227404006,51.50207697
329,Goldhawk Road,Hammersmith & City line,Zone 2,"Goldhawk Rd, Shepherd's Bush, London W12 8EG, UK",-0.227404006,51.50207697
330,Goodge Street,Northern line,Zone 1,"Bloomsbury, London W1T, UK",-0.13480769,51.52061311
331,Goodmayes,Overground line,Zone 4,"Goodmayes, Ilford IG3 9UR, UK",0.111729654,51.56618098
332,Gordon Hill,Overground line,Zone 5,"Enfield EN2 0QU, UK",-0.0944733,51.66350224
333,Gospel Oak,Overground line,Zone 2,"Gospel Oak, London, UK",-0.151301033,51.55540529
334,Grange Hill,Central line (London Underground),Zone 4,"Grange Cres, Chigwell IG7, UK",0.09227253,51.61348043
335,Grange Park,Overground line,Zone 5,"Grange Park, London N21, UK",-0.097314424,51.64262308
336,Gravel Hill,Overground line,Zone 3,"South Croydon, Croydon CR0 5BJ, UK",-0.043121699,51.35454326
337,Gravel Hill,Overground line,Zone 4,"South Croydon, Croydon CR0 5BJ, UK",-0.043121699,51.35454326
338,Gravel Hill,Overground line,Zone 5,"South Croydon, Croydon CR0 5BJ, UK",-0.043121699,51.35454326
339,Gravel Hill,Overground line,Zone 6,"South Croydon, Croydon CR0 5BJ, UK",-0.043121699,51.35454326
340,Great Portland Street,Circle line (London Underground),Zone 1,"London Underground Limited Great Portland Street Station, Great Portland St, Fitzrovia, London W1W 5PP, UK",-0.143961425,51.5237888
341,Great Portland Street,Hammersmith & City line,Zone 1,"London Underground Limited Great Portland Street Station, Great Portland St, Fitzrovia, London W1W 5PP, UK",-0.143961425,51.5237888
342,Great Portland Street,Metropolitan line,Zone 1,"London Underground Limited Great Portland Street Station, Great Portland St, Fitzrovia, London W1W 5PP, UK",-0.143961425,51.5237888
343,Green Park,Jubilee line,Zone 1,"Green Park station, London W1J 9DZ, UK",-0.142477576,51.50676048
344,Green Park,Piccadilly line,Zone 1,"Green Park station, London W1J 9DZ, UK",-0.142477576,51.50676048
345,Green Park,Victoria line,Zone 1,"Green Park station, London W1J 9DZ, UK",-0.142477576,51.50676048
346,Greenford,Central line (London Underground),Zone 4,"Oldfield Ln N, Greenford UB6 8PX, UK",-0.34587874,51.54198007
347,Greenwich,Overground line,Zone 2,"Lambard House, Greenwich High Rd, Greenwich, London SE10 8JQ, UK",-0.014863084,51.47754766
348,Greenwich,Overground line,Zone 3,"Lambard House, Greenwich High Rd, Greenwich, London SE10 8JQ, UK",-0.014863084,51.47754766
349,Grove Park,Overground line,Zone 4,"Grove Park, London, UK",0.022598502,51.43043264
350,Gunnersbury,District line,Zone 3,"Gunnersbury, London W4 5PT, UK",-0.275164136,51.49186341
351,Hackbridge,Overground line,Zone 4,"Hackbridge, Wallington SM6 7BJ, UK",-0.153879198,51.3778609
352,Hackney Central,Overground line,Zone 2,"off Amhurst Road, Hackney, London E8 1LL, UK",-0.055589512,51.54725744
353,Hackney Downs,Overground line,Zone 2,"Hackney, London E8 1FD, UK",-0.060185105,51.54907809
354,Hackney Wick,Overground line,Zone 2,"White Post Ln, Hackney Wick, London E9 5LN, UK",-0.025259503,51.54355841
355,Hadley Wood,Overground line,Zone 6,"Hadley Wood, Barnet EN4 0EL, UK",-0.17658119,51.66840287
356,Haggerston,Overground line,Zone 2,"Haggerston, London E8 4DY, UK",-0.075595258,51.53868473
357,Hainault,Central line (London Underground),Zone 4,"Ilford IG6 3AA, UK",0.09410855,51.60284533
358,Hammersmith (District),District line,Zone 2,"Hammersmith Broadway, Hammersmith, London W6 8AB, UK",-0.222860929,51.49181978
359,Hammersmith (District),Piccadilly line,Zone 2,"Hammersmith Broadway, Hammersmith, London W6 8AB, UK",-0.222860929,51.49181978
360,Hammersmith (Met.),Circle line (London Underground),Zone 2,"Hammersmith Broadway, Hammersmith, London W6 8AB, UK",-0.224640157,51.49348335
361,Hammersmith (Met.),Hammersmith & City line,Zone 2,"Hammersmith Broadway, Hammersmith, London W6 8AB, UK",-0.224640157,51.49348335
362,Hampstead,Northern line,Zone 2,"Hampstead High St, London NW3 1QG, UK",-0.17801456,51.5565426
363,Hampstead Heath,Overground line,Zone 3,"Hampstead, London NW3 2QD, UK",-0.164566183,51.55519992
364,Hampton,Overground line,Zone 6,"Hampton TW12, UK",-0.372135254,51.41587955
365,Hampton Court,Overground line,Zone 6,"Molesey, East Molesey KT8 9AE, UK",-0.342757152,51.40229388
366,Hampton Wick,Overground line,Zone 6,"Hampton Wick, UK",-0.31310361,51.41464004
367,Hanger Lane,Central line (London Underground),Zone 3,"Hanger Ln, Hanger Hill, London W5 1DL, UK",-0.292996146,51.53007203
368,Hanwell,Overground line,Zone 4,"Hanwell, London, UK",-0.338051884,51.51218596
369,Harlesden,Bakerloo line,Zone 3,"London NW10 7AA, UK",-0.257495674,51.53625833
370,Harold Wood,Overground line,Zone 6,"Harold Wood, Romford RM3 0PH, UK",0.234204073,51.59320222
371,Harringay,Overground line,Zone 3,"Finsbury Park, London N4 1RE, UK",-0.105208253,51.57735791
372,Harringay Green Lanes,Overground line,Zone 3,"Harringay, London N4 1DR, UK",-0.098217392,51.57714589
373,Harrington Road,Overground line,Zone 3,"Harrington Rd, London SE25 4NF, UK",-0.060699955,51.39979057
374,Harrington Road,Overground line,Zone 4,"Harrington Rd, London SE25 4NF, UK",-0.060699955,51.39979057
375,Harrington Road,Overground line,Zone 5,"Harrington Rd, London SE25 4NF, UK",-0.060699955,51.39979057
376,Harrington Road,Overground line,Zone 6,"Harrington Rd, London SE25 4NF, UK",-0.060699955,51.39979057
377,Harrow and Wealdstone,Bakerloo line,Zone 5,"Harrow HA3 5AG, UK",-0.334252685,51.59259463
378,Harrow-on-the-Hill,Metropolitan line,Zone 5,"Station Rd, Harrow HA1 1BB, UK",-0.337001517,51.57938812
379,Hatch End,Overground line,Zone 6,"Hatch End, Pinner HA5 4HU, UK",-0.369178781,51.6098285
380,Hatton Cross,Piccadilly line,Zone 5,"Great South-West Rd, Hounslow TW6 3PF, UK",-0.423380563,51.4666853
381,Hatton Cross,Piccadilly line,Zone 6,"Great South-West Rd, Hounslow TW6 3PF, UK",-0.423380563,51.4666853
382,Haydons Road,Overground line,Zone 3,"London SW19 8RP, UK",-0.188929359,51.42545732
383,Hayes,Overground line,Zone 5,"Hayes, Bromley BR2, UK",0.010142652,51.37573671
384,Hayes and Harlington,Overground line,Zone 5,"Hayes UB3 4BX, UK",-0.420641904,51.50304907
385,Headstone Lane,Overground line,Zone 5,"Harrow, UK",-0.356907514,51.60249963
386,Heathrow Terminal 4,Piccadilly line,Zone 6,"Hounslow TW6 3YD, UK",-0.44772959,51.45978043
387,Heathrow Terminal 5,Piccadilly line,Zone 6,"Hounslow TW6 2NQ, UK",-0.490647503,51.47002543
388,Heathrow Terminals 1 2 3,Piccadilly line,Zone 6,"Hounslow TW6, UK",-0.452407226,51.4712894
389,Hendon,Overground line,Zone 3,"Edgware, London NW4 4PT, UK",-0.238630521,51.58007498
390,Hendon,Overground line,Zone 4,"Edgware, London NW4 4PT, UK",-0.238630521,51.58007498
391,Hendon Central,Northern line,Zone 3,"Hendon, London NW4 3AB, UK",-0.22673414,51.58313305
392,Hendon Central,Northern line,Zone 4,"Hendon, London NW4 3AB, UK",-0.22673414,51.58313305
393,Herne Hill,Overground line,Zone 2,"London SE24, UK",-0.102562908,51.45399137
394,Herne Hill,Overground line,Zone 3,"London SE24, UK",-0.102562908,51.45399137
395,Heron Quays,Overground line,Zone 2,"Isle of Dogs, London E14 8LA, UK",-0.021953532,51.50338657
396,High Barnet,Northern line,Zone 5,"Barnet, UK",-0.19416538,51.65168825
397,High Street Kensington,Circle line (London Underground),Zone 1,"Kensington High St, Kensington, London W8 5SA, UK",-0.191566058,51.50072945
398,High Street Kensington,District line,Zone 1,"Kensington High St, Kensington, London W8 5SA, UK",-0.191566058,51.50072945
399,Highams Park,Overground line,Zone 4,"Highams Park, London, UK",-0.000135286,51.60835599
400,Highbury and Islington,Victoria line,Zone 2,"Highbury, London N7 8JA, UK",-0.10408214,51.54649551
401,Highgate,Northern line,Zone 3,"Highgate, London N6, UK",-0.146934862,51.57764662
402,Hillingdon,Metropolitan line,Zone 6,"Long Ln, Hillingdon, Uxbridge UB10 9NR, UK",-0.449897993,51.55377752
403,Hillingdon,Piccadilly line,Zone 6,"Long Ln, Hillingdon, Uxbridge UB10 9NR, UK",-0.449897993,51.55377752
404,Hither Green,Overground line,Zone 3,"Hither Green, London SE13 5NF, UK",-0.000970912,51.45240172
405,Holborn,Central line (London Underground),Zone 1,"Kingsway, Holborn, London WC2B 6AA, UK",-0.119840507,51.51723574
406,Holborn,Piccadilly line,Zone 1,"Kingsway, Holborn, London WC2B 6AA, UK",-0.119840507,51.51723574
407,Holland Park,Central line (London Underground),Zone 2,"Lansdowne Rd, Notting Hill, London W11 3QZ, UK",-0.206557778,51.50714648
408,Holloway Road,Piccadilly line,Zone 2,"Holloway Rd, London N7 8HS, UK",-0.112935697,51.5528161
409,Homerton,Overground line,Zone 2,"Homerton, London E9 5SE, UK",-0.038512347,51.54659545
410,Honor Oak Park,Overground line,Zone 3,"Honor Oak Park, Honor Oak, London SE23 1EB, UK",-0.044153121,51.45064824
411,Hornchurch,District line,Zone 6,"Station Ln, Hornchurch RM12 6LL, UK",0.218926997,51.55435511
412,Hornsey,Overground line,Zone 3,"Hornsey, London, UK",-0.111815638,51.58647485
413,Hounslow,Overground line,Zone 5,"Maswell Park Rd, Hounslow TW3 2DL, UK",-0.361796256,51.46250482
414,Hounslow Central,Piccadilly line,Zone 4,"Lampton Rd, Hounslow TW3 1JG, UK",-0.365958129,51.47092577
415,Hounslow East,Piccadilly line,Zone 4,"Lampton, Hounslow TW3 1QB, UK",-0.355275322,51.47370789
416,Hounslow West,Piccadilly line,Zone 5,"Hounslow TW4, UK",-0.385707629,51.47310572
417,Hoxton,Overground line,Zone 1,"London, UK",-0.075585647,51.53139161
418,Hoxton,Overground line,Zone 2,"London, UK",-0.075585647,51.53139161
419,Hyde Park Corner,Piccadilly line,Zone 1,"Knightsbridge, London SW1X 7LY, UK",-0.152474114,51.50258401
420,Ickenham,Metropolitan line,Zone 6,"Glebe Ave, Ickenham, Uxbridge UB10 8PD, UK",-0.441579513,51.56082505
421,Ickenham,Piccadilly line,Zone 6,"Glebe Ave, Ickenham, Uxbridge UB10 8PD, UK",-0.441579513,51.56082505
422,Ilford,Overground line,Zone 4,"Ilford, UK",0.068685191,51.55914224
423,Imperial Wharf,Overground line,Zone 2,"Lockyer House, Hemans St, Chelsea Harbour, London SW8 4SR, UK",-0.182837505,51.47493893
424,Island Gardens,Overground line,Zone 2,"Isle of Dogs, London E14, UK",-0.010493303,51.48795009
425,Isleworth,Overground line,Zone 4,"Isleworth TW7, UK",-0.337328765,51.47503742
426,Kenley,Overground line,Zone 6,"Kenley CR8 5DF, UK",-0.101219713,51.32460031
427,Kennington,Northern line,Zone 2,"London SE11 4JQ, UK",-0.105070613,51.48866246
428,Kensal Green,Bakerloo line,Zone 2,"Kensal Green, London, UK",-0.224713384,51.53052421
429,Kensal Rise,Overground line,Zone 2,"Kensal Green, London NW10 5RU, UK",-0.220820979,51.53421506
430,Kensington (Olympia),District line,Zone 2,"Hammersmith, London W14 0NE, UK",-0.210379242,51.4978797
431,Kent House,Overground line,Zone 4,"Beckenham BR3, UK",-0.045815553,51.41271766
432,Kentish Town,Northern line,Zone 2,"Kentish Town, London NW5 2AA, UK",-0.140471264,51.55000952
433,Kentish Town West,Overground line,Zone 2,"Kentish Town, London NW5 3LT, UK",-0.14675641,51.54654797
434,Kenton,Bakerloo line,Zone 4,"Kenton Rd, Harrow HA3 0AZ, UK",-0.315216867,51.58149628
435,Kew Bridge,Overground line,Zone 3,"River Thames, Richmond W4 3NN, UK",-0.288846495,51.49000462
436,Kew Gardens,District line,Zone 3,"Station Approach, London TW9 3BZ, UK",-0.285381011,51.47678914
437,Kew Gardens,District line,Zone 4,"Station Approach, London TW9 3BZ, UK",-0.285381011,51.47678914
438,Kidbrooke,Overground line,Zone 3,"London SE3 9PL, UK",0.028300239,51.46269019
439,Kilburn,Jubilee line,Zone 2,"Shoot-Up Hill, West Hampstead, London NW6 7QL, UK",-0.204632719,51.54694444
440,Kilburn High Road,Overground line,Zone 2,"Kilburn High Rd, North Maida Vale, London NW6 5UA, UK",-0.191113106,51.53726774
441,Kilburn Park,Bakerloo line,Zone 2,"Cambridge Ave, North Maida Vale, London NW6 5AD, UK",-0.193966057,51.53513554
442,King George V,Overground line,Zone 3,"Royal Docks, London E16 2TX, UK",0.062206214,51.50200861
443,King Henry's Drive,Overground line,Zone 3,"New Addington, Croydon CR0 0LH, UK",-0.020264757,51.3453641
444,King Henry's Drive,Overground line,Zone 4,"New Addington, Croydon CR0 0LH, UK",-0.020264757,51.3453641
445,King Henry's Drive,Overground line,Zone 5,"New Addington, Croydon CR0 0LH, UK",-0.020264757,51.3453641
446,King Henry's Drive,Overground line,Zone 6,"New Addington, Croydon CR0 0LH, UK",-0.020264757,51.3453641
447,King's Cross,Overground line,Zone 1,"Euston Rd, Kings Cross, London N1 9AL, UK",-0.122756421,51.53079819
448,Kings Cross St. Pancras,Circle line (London Underground),Zone 1,"Euston Rd, Kings Cross, London N1C 4QP, UK",-0.12387213,51.53031246
449,Kings Cross St. Pancras,Hammersmith & City line,Zone 1,"Euston Rd, Kings Cross, London N1C 4QP, UK",-0.12387213,51.53031246
450,Kings Cross St. Pancras,Metropolitan line,Zone 1,"Euston Rd, Kings Cross, London N1C 4QP, UK",-0.12387213,51.53031246
451,Kings Cross St. Pancras,Northern line,Zone 1,"Euston Rd, Kings Cross, London N1C 4QP, UK",-0.12387213,51.53031246
452,Kings Cross St. Pancras,Piccadilly line,Zone 1,"Euston Rd, Kings Cross, London N1C 4QP, UK",-0.12387213,51.53031246
453,Kings Cross St. Pancras,Victoria line,Zone 1,"Euston Rd, Kings Cross, London N1C 4QP, UK",-0.12387213,51.53031246
454,Kingsbury,Jubilee line,Zone 4,"Kingsbury Rd, Kingsbury Circle, London NW9 9EG, UK",-0.278601608,51.58487652
455,Kingston,Overground line,Zone 6,"Wood St, Kingston upon Thames KT1 1UJ, UK",-0.30114104,51.41264176
456,Kingswood,Overground line,Zone 6,"Kingswood, Banstead, Tadworth KT20 6EN, UK",-0.211233226,51.29472314
457,Knightsbridge,Piccadilly line,Zone 1,"Sloane St, Knightsbridge, London SW1X 9LA, UK",-0.160664486,51.5013549
458,Knockholt,Overground line,Zone 6,"Old London Rd, Knockholt, Chelsfield, Sevenoaks TN14 7HR, UK",0.130831039,51.34575194
459,Ladbroke Grove,Circle line (London Underground),Zone 2,"Ladbroke Grove, Notting Hill, London W10 6HJ, UK",-0.210198172,51.51721067
460,Ladbroke Grove,Hammersmith & City line,Zone 2,"Ladbroke Grove, Notting Hill, London W10 6HJ, UK",-0.210198172,51.51721067
461,Ladywell,Overground line,Zone 3,"Lewisham, London, UK",-0.019244401,51.45619214
462,Lambeth North,Bakerloo line,Zone 1,"110 Westminster Bridge Rd, South Bank, London SE1 7XG, UK",-0.111768261,51.49912995
463,Lancaster Gate,Central line (London Underground),Zone 1,"Bayswater Rd, Bayswater, London W2 2UE, UK",-0.175429929,51.51189094
464,Langdon Park,Overground line,Zone 2,"Poplar, London E14 6GN, UK",-0.015213799,51.51888394
465,Latimer Road,Circle line (London Underground),Zone 2,"Bramley Rd, Notting Hill, London W10 6SZ, UK",-0.217459666,51.5139581
466,Latimer Road,Hammersmith & City line,Zone 2,"Bramley Rd, Notting Hill, London W10 6SZ, UK",-0.217459666,51.5139581
467,Lea Bridge,Overground line,Zone 3,"Argall Way Lee Valley, Greater, Walthamstow, London E10 7PG, UK",-0.036683158,51.56663626
468,Lebanon Road,Overground line,Zone 3,"Croydon CR0 5NL, UK",-0.084973649,51.375199
469,Lebanon Road,Overground line,Zone 4,"Croydon CR0 5NL, UK",-0.084973649,51.375199
470,Lebanon Road,Overground line,Zone 5,"Croydon CR0 5NL, UK",-0.084973649,51.375199
471,Lebanon Road,Overground line,Zone 6,"Croydon CR0 5NL, UK",-0.084973649,51.375199
472,Lee,Overground line,Zone 3,"Lee, London SE12 0AD, UK",0.013364692,51.44945852
473,Leicester Square,Northern line,Zone 1,"[no name], West End, London WC2H 0AP, UK",-0.128242148,51.51129118
474,Leicester Square,Piccadilly line,Zone 1,"[no name], West End, London WC2H 0AP, UK",-0.128242148,51.51129118
475,Lewisham,Overground line,Zone 2,"London Borough of Lewisham, UK",-0.012432701,51.46488071
476,Lewisham,Overground line,Zone 3,"London Borough of Lewisham, UK",-0.012432701,51.46488071
477,Leyton,Central line (London Underground),Zone 3,"Leyton, London E10, UK",-0.006465332,51.55813227
478,Leyton Midland Road,Overground line,Zone 3,"Midland Rd, London, Leyton E10 6JT, UK",-0.008066347,51.56936424
479,Leytonstone,Central line (London Underground),Zone 3,"Church Ln, Leytonstone, London E11 1HE, UK",0.009140452,51.56852229
480,Leytonstone,Central line (London Underground),Zone 4,"Church Ln, Leytonstone, London E11 1HE, UK",0.009140452,51.56852229
481,Leytonstone High Road,Overground line,Zone 3,"High Rd, Leytonstone, London E11 4RE, UK",0.008254469,51.56380734
482,Limehouse,Overground line,Zone 2,"Limehouse, London E14 7JE, UK",-0.039380078,51.51231216
483,Liverpool Street,Central line (London Underground),Zone 1,"Liverpool St, London EC2M 7PY, UK",-0.082249622,51.51759826
484,Liverpool Street,Circle line (London Underground),Zone 1,"Liverpool St, London EC2M 7PY, UK",-0.082249622,51.51759826
485,Liverpool Street,Hammersmith & City line,Zone 1,"Liverpool St, London EC2M 7PY, UK",-0.082249622,51.51759826
486,Liverpool Street,Metropolitan line,Zone 1,"Liverpool St, London EC2M 7PY, UK",-0.082249622,51.51759826
487,Lloyd Park,Overground line,Zone 3,"Coombe Rd, Croydon CR0 5RA, UK",-0.080746273,51.36427554
488,Lloyd Park,Overground line,Zone 4,"Coombe Rd, Croydon CR0 5RA, UK",-0.080746273,51.36427554
489,Lloyd Park,Overground line,Zone 5,"Coombe Rd, Croydon CR0 5RA, UK",-0.080746273,51.36427554
490,Lloyd Park,Overground line,Zone 6,"Coombe Rd, Croydon CR0 5RA, UK",-0.080746273,51.36427554
491,London Bridge,Jubilee line,Zone 1,"Station Approach Rd, London SE1 9SP, UK",-0.086005598,51.50467435
492,London Bridge,Northern line,Zone 1,"Station Approach Rd, London SE1 9SP, UK",-0.086005598,51.50467435
493,London City Airport,Overground line,Zone 3,"Royal Docks, London E16 2DU, UK",0.047872715,51.50368966
494,London Fields,Overground line,Zone 2,"Hackney, London E8 3PH, UK",-0.057699686,51.54071884
495,Loughborough Junction,Overground line,Zone 2,"Brixton, London SW9 8SA, UK",-0.102497342,51.4666789
496,Loughton,Central line (London Underground),Zone 6,"Loughton IG10, UK",0.055279079,51.64157048
497,Lower Sydenham,Overground line,Zone 4,"Lower Sydenham, London SE26, UK",-0.033330342,51.42484684
498,Maida Vale,Bakerloo line,Zone 2,"Elgin Ave, Maida Vale, London W9 1JS, UK",-0.185432647,51.52999506
499,Malden Manor,Overground line,Zone 4,"Sheephouse Way, New Malden KT3 5PF, UK",-0.261120416,51.38460954
500,Manor House,Piccadilly line,Zone 2,"318 Green Lanes, Finsbury Park, London N4 1BX, UK",-0.095684976,51.57074714
501,Manor House,Piccadilly line,Zone 3,"318 Green Lanes, Finsbury Park, London N4 1BX, UK",-0.095684976,51.57074714
502,Manor Park,Overground line,Zone 3,"Manor Park, London, UK",0.04572387,51.55285435
503,Manor Park,Overground line,Zone 4,"Manor Park, London, UK",0.04572387,51.55285435
504,Mansion House,Circle line (London Underground),Zone 1,"38 Cannon St, London EC4N 6JD, UK",-0.094197658,51.51209175
505,Mansion House,District line,Zone 1,"38 Cannon St, London EC4N 6JD, UK",-0.094197658,51.51209175
506,Marble Arch,Central line (London Underground),Zone 1,"Mayfair, London W1K 7AQ, UK",-0.158571216,51.51396549
507,Maryland,Overground line,Zone 3,"London E15, UK",0.005681654,51.54566827
508,Marylebone,Bakerloo line,Zone 1,"Melcombe Pl, Marylebone, London NW1 6JJ, UK",-0.163492564,51.52239667
509,Maze Hill,Overground line,Zone 3,"London SE10 9XJ, UK",0.003204897,51.48301366
510,Merton Park,Overground line,Zone 3,"London SW19 3AL, UK",-0.201342031,51.41339161
511,Merton Park,Overground line,Zone 4,"London SW19 3AL, UK",-0.201342031,51.41339161
512,Merton Park,Overground line,Zone 5,"London SW19 3AL, UK",-0.201342031,51.41339161
