,Station,Tube Line,Transport Zone,Address,Longitude,Latitude
62,Barnes Bridge,Overground line,Zone 3,"0NL, Barnes Railway Bridge, London W4 2SH, UK",-0.252362617,51.47222805
63,Barons Court,District line,Zone 2,"Hammersmith, London W14 9EA, UK",-0.213430145,51.49022868
64,Barons Court,Piccadilly line,Zone 2,"Hammersmith, London W14 9EA, UK",-0.213430145,51.49022868
65,Battersea Park,Overground line,Zone 2,"Battersea, London SW11 4NJ, UK",-0.148123762,51.47731832
66,Battersea Power Station,Overground line,Zone 1,"Battersea Park Rd, Nine Elms, London SW8 4BH, UK",-0.142001353,51.47949657
67,Bayswater,Circle line (London Underground),Zone 1,"Queensway, Bayswater, London W2 4RH, UK",-0.187901574,51.51211129
68,Bayswater,District line,Zone 1,"Queensway, Bayswater, London W2 4RH, UK",-0.187901574,51.51211129
69,Beckenham Hill,Overground line,Zone 4,"London SE6 3AL, UK",-0.016495762,51.42462606
70,Beckenham Junction,Overground line,Zone 4,"Beckenham BR3, UK",-0.025701739,51.41094164
71,Beckenham Road,Overground line,Zone 3,"Beckenham BR3 4RR, UK",-0.043391922,51.40952975
72,Beckenham Road,Overground line,Zone 4,"Beckenham BR3 4RR, UK",-0.043391922,51.40952975
73,Beckenham Road,Overground line,Zone 5,"Beckenham BR3 4RR, UK",-0.043391922,51.40952975
74,Beckenham Road,Overground line,Zone 6,"Beckenham BR3 4RR, UK",-0.043391922,51.40952975
75,Beckton,Overground line,Zone 3,"London E6 6LD, UK",0.061525297,51.51437663
76,Beckton Park,Overground line,Zone 3,"Sidcup, London E6 5NE, UK",0.054821939,51.50890079
77,Becontree,District line,Zone 5,"Gale St, Dagenham RM9 4TP, UK",0.126880292,51.53958541
78,Beddington Lane,Overground line,Zone 3,"Mitcham CR4, UK",-0.142138434,51.38923988
79,Beddington Lane,Overground line,Zone 4,"Mitcham CR4, UK",-0.142138434,51.38923988
80,Beddington Lane,Overground line,Zone 5,"Mitcham CR4, UK",-0.142138434,51.38923988
81,Beddington Lane,Overground line,Zone 6,"Mitcham CR4, UK",-0.142138434,51.38923988
82,Belgrave Walk,Overground line,Zone 3,"Mitcham CR4 3QE, UK",-0.178496474,51.40096165
83,Belgrave Walk,Overground line,Zone 4,"Mitcham CR4 3QE, UK",-0.178496474,51.40096165
84,Belgrave Walk,Overground line,Zone 5,"Mitcham CR4 3QE, UK",-0.178496474,51.40096165
85,Belgrave Walk,Overground line,Zone 6,"Mitcham CR4 3QE, UK",-0.178496474,51.40096165
86,Bellingham,Overground line,Zone 3,"Bellingham, London SE6 3BU, UK",-0.02041177,51.43386489
87,Belmont,Overground line,Zone 5,"Station Approach, Belmont, Sutton SM2 6BH, UK",-0.199489253,51.34411992
88,Belsize Park,Northern line,Zone 2,"Haverstock Hill, London NW3 2AL, UK",-0.163974493,51.55019088
89,Belvedere,Overground line,Zone 5,"Belvedere DA17 6JW, UK",0.152033792,51.491959
90,Bermondsey,Jubilee line,Zone 2,"Distrct of Freedom#8573311~!#, Jamaica Rd, Bermondsey, London SE16 4SN, UK",-0.06433009,51.49796078
91,Berrylands,Overground line,Zone 5,"Chiltern Dr, Surbiton, Kingston upon Thames KT5 8LS, UK",-0.280321477,51.39876841
92,Bethnal Green,Central line (London Underground),Zone 2,"Three Colts Ln, London E2 6JL, UK",-0.055392112,51.52719174
93,Bethnal Green Rail,Overground line,Zone 2,"Three Colts Ln, London E2 6JL, UK",-0.060013743,51.52428274
94,Bexley,Overground line,Zone 6,"Bexley DA5, UK",0.148203913,51.44081453
95,Bexleyheath,Overground line,Zone 5,"Bexleyheath, UK",0.133362965,51.46354996
96,Bickley,Overground line,Zone 5,"Southborough Rd, Bromley BR1 2EB, UK",0.044304032,51.40037957
97,Birkbeck,Overground line,Zone 4,"Elmers End Rd, Birkbeck, Beckenham BR3 4TA, UK",-0.056286236,51.40386309
98,Blackfriars,Circle line (London Underground),Zone 1,"London EC4V 4DD, UK",-0.102995385,51.51158693
99,Blackfriars,District line,Zone 1,"London EC4V 4DD, UK",-0.102995385,51.51158693
100,Blackheath,Overground line,Zone 3,"Blackheath, London, UK",0.008336595,51.46540801
101,Blackhorse Lane,Overground line,Zone 3,"8A Tenterden Gardens, Croydon CR0 6NL, UK",-0.070533948,51.38474618
102,Blackhorse Lane,Overground line,Zone 4,"8A Tenterden Gardens, Croydon CR0 6NL, UK",-0.070533948,51.38474618
103,Blackhorse Lane,Overground line,Zone 5,"8A Tenterden Gardens, Croydon CR0 6NL, UK",-0.070533948,51.38474618
104,Blackhorse Lane,Overground line,Zone 6,"8A Tenterden Gardens, Croydon CR0 6NL, UK",-0.070533948,51.38474618
105,Blackhorse Road,Victoria line,Zone 3,"E17, 665 Forest Rd, Walthamstow, London E17 6JT, UK",-0.039625712,51.58577663
106,Blackwall,Overground line,Zone 2,"Poplar, London E14, UK",-0.007235166,51.50783154
107,Bond Street,Central line (London Underground),Zone 1,"Oxford St, Mayfair, London W1R 1FE, UK",-0.14961361,51.51379752
108,Bond Street,Jubilee line,Zone 1,"Oxford St, Mayfair, London W1R 1FE, UK",-0.14961361,51.51379752
109,Borough,Northern line,Zone 1,"London SE1, UK",-0.094197323,51.50104887
110,Boston Manor,Piccadilly line,Zone 4,"W7, UK",-0.324747189,51.49576554
111,Bounds Green,Piccadilly line,Zone 3,"8 Blanchland Rd, London, Morden SM4, UK",-0.124177066,51.60703192
112,Bounds Green,Piccadilly line,Zone 4,"8 Blanchland Rd, London, Morden SM4, UK",-0.124177066,51.60703192
113,Bow Church,Overground line,Zone 2,"Bow, London E3 4DS, UK",-0.020499899,51.5276152
114,Bow Road,District line,Zone 2,"68, Brodick House, Saxon Rd, Bow, London E3 5HJ, UK",-0.024359591,51.52704181
115,Bow Road,Hammersmith & City line,Zone 2,"68, Brodick House, Saxon Rd, Bow, London E3 5HJ, UK",-0.024359591,51.52704181
116,Bowes Park,Overground line,Zone 3,"Bounds Green, London N22 8YY, UK",-0.119792219,51.60724951
117,Bowes Park,Overground line,Zone 4,"Bounds Green, London N22 8YY, UK",-0.119792219,51.60724951
118,Brent Cross,Northern line,Zone 3,"London, UK",-0.213335841,51.57659922
119,Brentford,Overground line,Zone 4,"Brentford TW8, UK",-0.309622537,51.48753631
120,Brentwood,Overground line,Zone 7,"Warley, Brentwood CM14 4EW, UK",0.299672816,51.61361034
121,Brimsdown,Overground line,Zone 5,"Brimsdown, Enfield EN3, UK",-0.031092277,51.65524461
122,Brixton,Victoria line,Zone 2,"Coldharbour, London SW9 8HX, UK",-0.114552098,51.4627368
123,Brockley,Overground line,Zone 2,"Coulgate St, Brockley, London SE4 2RW, UK",-0.037748251,51.46474966
124,Bromley North,Overground line,Zone 4,"Bromley BR1, UK",0.017235452,51.40894231
125,Bromley South,Overground line,Zone 5,"High St, Bromley BR1 1LX, UK",0.01735958,51.40000129
126,Bromley-by-Bow,District line,Zone 2,"Blackwall Tunnel Northern Approach, London E3 3JJ, UK",-0.011682374,51.5248402
127,Bromley-by-Bow,Hammersmith & City line,Zone 2,"Blackwall Tunnel Northern Approach, London E3 3JJ, UK",-0.011682374,51.5248402
128,Bromley-by-Bow,District line,Zone 3,"Blackwall Tunnel Northern Approach, London E3 3JJ, UK",-0.011682374,51.5248402
129,Bromley-by-Bow,Hammersmith & City line,Zone 3,"Blackwall Tunnel Northern Approach, London E3 3JJ, UK",-0.011682374,51.5248402
130,Brondesbury,Overground line,Zone 2,"Kilburn, London NW6 7QB, UK",-0.202838486,51.54526236
131,Brondesbury Park,Overground line,Zone 2,"213A Chevening Rd, Queen's Park, London NW6 6RP, UK",-0.210473947,51.54032537
132,Broxbourne,Overground line,Zone 9,"Broxbourne EN10 7AW, UK",-0.011024084,51.74701557
133,Bruce Grove,Overground line,Zone 3,"Tottenham, London N17 6QX, UK",-0.07039899,51.59401125
134,Buckhurst Hill,Central line (London Underground),Zone 5,"Buckhurst Hill IG9, UK",0.046712541,51.62657666
135,Burnt Oak,Northern line,Zone 4,"Watling Ave, Burnt Oak, Edgware HA8 0LA, UK",-0.264330712,51.60255191
136,Bush Hill Park,Overground line,Zone 5,"Enfield EN1 1BA, UK",-0.069280413,51.64148196
137,Bushey,Overground line,Zone 8,"Pinner Rd, Watford WD19 4EA, UK",-0.384721541,51.64554416
138,Caledonian Road,Piccadilly line,Zone 2,"Caledonian Rd, London N7 9BA, UK",-0.118360862,51.54788544
139,Caledonian Road and Barnsbury,Overground line,Zone 2,"London, UK",-0.115204857,51.54328458
140,Cambridge Heath,Overground line,Zone 2,"Cambridge Heath, London E2, UK",-0.057203201,51.53205976
141,Camden Road,Overground line,Zone 2,"London NW1 9LS, UK",-0.139203113,51.54185123
142,Camden Town,Northern line,Zone 2,"Camden Town, London NW1 8QL, UK",-0.142452381,51.53996935
143,Canada Water,Jubilee line,Zone 2,"Deal Porters Way Surrey Quays, Rotherhithe, London SE16, UK",-0.050807121,51.49816841
144,Canary Wharf,Jubilee line,Zone 2,"Canary Wharf, London E14 5AJ, UK",-0.01946684,51.5035784
145,Canning Town,Jubilee line,Zone 3,"Silvertown Way, Canning Town, London E16 1DQ, UK",0.008305633,51.51387029
146,Cannon Street,Circle line (London Underground),Zone 1,"Cannon St, London EC4N 6AP, UK",-0.090250527,51.51136209
147,Cannon Street,District line,Zone 1,"Cannon St, London EC4N 6AP, UK",-0.090250527,51.51136209
148,Canonbury,Overground line,Zone 2,"Wallace Rd, Mildmay Ward, London N1 2PG, UK",-0.092574196,51.54818839
149,Canons Park,Jubilee line,Zone 5,"Edgware HA8, UK",-0.294391597,51.60765057
150,Carpenders Park,Overground line,Zone 7,"South Oxhey, Watford WD19 7DT, UK",-0.385829324,51.62818672
151,Carshalton,Overground line,Zone 5,"Carshalton SM5 2HT, UK",-0.166398328,51.36842637
152,Carshalton Beeches,Overground line,Zone 5,"Carshalton Beeches, Carshalton, UK",-0.169496326,51.35738684
153,Castle Bar Park,Overground line,Zone 4,"London W7, UK",-0.331504076,51.52297367
154,Caterham,Overground line,Zone 6,"station, Station Ave, Caterham CR3 6LB, UK",-0.078607299,51.28216282
155,Catford,Overground line,Zone 3,"Catford, London SE6 4XS, UK",-0.026538499,51.44426491
156,Catford Bridge,Overground line,Zone 3,"Catford Bridge, Catford, London SE6 4RE, UK",-0.024821876,51.44469463
157,Centrale,Overground line,Zone 3,"67 Tamworth Rd, Croydon CR0 1XW, UK",-0.103888104,51.37576747
158,Centrale,Overground line,Zone 4,"67 Tamworth Rd, Croydon CR0 1XW, UK",-0.103888104,51.37576747
159,Centrale,Overground line,Zone 5,"67 Tamworth Rd, Croydon CR0 1XW, UK",-0.103888104,51.37576747
160,Centrale,Overground line,Zone 6,"67 Tamworth Rd, Croydon CR0 1XW, UK",-0.103888104,51.37576747
